\
        id,date,vehicle,mission,site,status
        SLV001,2025-01-15,Falcon 9,Starlink Group 9-1,CCSFS SLC-40,Success
        SLV002,2025-01-20,Ariane 6,Artemis Supply Test,Kourou ELA-4,Delayed
        SLV003,2025-02-05,Long March 5B,Chinese Space Lab Module,WSLC LC-101,Success
        SLV004,2025-02-18,H3,HTV-X Cargo to ISS,Tanegashima LA-Y,Failure
        SLV005,2025-03-01,Falcon Heavy,Lunar Probe Pathfinder,KSC LC-39A,Scheduled
        SLV006,2025-03-10,Electron,WeatherSat-3,Mahia LC-1B,Success
        SLV007,2025-03-25,Starship,Deep Space Cargo Test,Boca Chica Orbital Pad,Delayed
        SLV008,2025-04-02,Vega C,Earth Imaging Cluster,Vega Launch Zone,Success
        SLV009,2025-04-12,PSLV,NavIC Expansion,Satish Dhawan FLP,Success
        SLV010,2025-04-30,Falcon 9,Starlink Group 9-2,CCSFS SLC-40,Cancelled
        SLV011,2025-05-10,New Glenn,Orbital Tourism Demo,LC-36,Scheduled
        SLV012,2025-05-22,Long March 7,Space Station Cargo,WSLC LC-201,Success
        SLV013,2025-06-01,Falcon 9,Starlink Batch A,CCSFS SLC-40,Success
        SLV014,2025-06-10,Electron,SmallSat Constellation,Mahia LC-1B,Scheduled
        SLV015,2025-06-18,PSLV,Geo Imaging Mission,Satish Dhawan FLP,Success
        SLV016,2025-07-05,Ariane 6,CommsSat Launch,Kourou ELA-4,Success
        SLV017,2025-07-12,Long March 7,Science Orbiter,WSLC LC-201,Delayed
        SLV018,2025-07-21,Falcon Heavy,Deep Space Telescope,KSC LC-39A,Scheduled
        SLV019,2025-08-03,H3,Cargo Resupply,Tanegashima LA-Y,Success
        SLV020,2025-08-11,Starship,Mars Test,Facilities-1,Delayed
        SLV021,2025-08-20,Vega C,Polar Imaging,Vega Launch Zone,Success
        SLV022,2025-09-02,New Glenn,Demo Payload,LC-36,Scheduled
        SLV023,2025-09-15,Long March 5B,Module Assembly,WSLC LC-101,Success
        SLV024,2025-09-25,Falcon 9,Starlink Group 10-1,CCSFS SLC-40,Success
        SLV025,2025-10-05,Electron,WeatherSat-4,Mahia LC-1B,Success
        SLV026,2025-10-18,PSLV,NavIC Update,Satish Dhawan FLP,Success
        SLV027,2025-11-01,Starship,Cargo Demonstrator,Boca Chica Orbital Pad,Cancelled
        SLV028,2025-11-11,Ariane 6,Explorer Probe,Kourou ELA-4,Scheduled
        SLV029,2025-11-20,H3,Communications Relay,Tanegashima LA-Y,Success
        SLV030,2025-12-05,New Glenn,Heavy Lift Test,LC-36,Success
        SLV031,2025-12-20,Falcon Heavy,Lunar Supply,KSC LC-39A,Scheduled
        SLV032,2026-01-10,Long March 7,Supply Run,WSLC LC-201,Scheduled
